Angle1,Angle2,State,Result,
307,359,1,0,
307,359,1,0,
307,359,1,0,
307,359,1,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
307,359,2,0,
42,74,1,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
42,74,2,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,2,0,
340,279,2,0,
340,279,2,0,
340,279,2,0,
340,279,2,0,
340,279,3,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
340,279,1,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
313,303,2,0,
313,303,2,0,
313,303,2,0,
313,303,3,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
313,303,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
26,2,1,0,
311,290,1,0,
311,290,1,0,
311,290,1,0,
311,290,1,0,
311,290,2,0,
311,290,2,0,
311,290,2,0,
311,290,2,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
311,290,4,0,
