Angle1,Angle2,State,Result,
0,75,1,0,
0,75,1,0,
0,75,1,0,
0,75,3,0,
0,75,3,0,
0,75,3,0,
0,75,3,0,
313,24,1,4.58428382873535,
313,24,1,4.58428382873535,
313,24,1,4.58428382873535,
313,24,1,4.58428382873535,
313,24,2,4.58428382873535,
313,24,2,4.58428382873535,
313,24,3,4.58428382873535,
49.28,340,1,5.58117437362671,
49.28,340,1,5.58117437362671,
49.28,340,2,5.58117437362671,
49.28,340,2,5.58117437362671,
49.28,340,2,5.58117437362671,
49.28,340,3,5.58117437362671,
49.28,340,3,5.58117437362671,
49.28,340,3,5.58117437362671,
