Strength,Attack_Speed,Moving_Speed,Critical,Defensive,CON,Range,HP,CurHp,Type,PositionX,PositionY,Target,State,ID,AttackedCount,Move_Target,Attack_Target,isCheck,coolTime_Attack_Start,Monster_Attack_Speed,Monster_Skill_CoolTime,Skill_number,End,Monster_Damage,Monster_Moving_Speed,Monster_Range,Monster_Defensive,Monster_Critical,Monster_Sight,Monster_Enemy_1,Monster_Enemy_2,Monster_Enemy_3,Monster_Enemy_4,Monster_Home_1,Monster_Home_2,Monster_Home_3,Monster_Home_4,Monster_Avoid_State,Monster_Enemy_Total,Monster_Home_Total,Monster_Avoid_Time,Monster_Total_Damage,Monster_Enemy_Defensive,Monster_Total_AttackedDamage,Monster_Total_Defense,Monster_Enemy_CurHp,Monster_Total_AttackedCount,Monster_Total_AttackCount,Monster_Avoid_Value,Monster_Strength_Value,Monster_Attack_Speed_Value,Monster_Moving_Speed_Value,Monster_Critical_Value,Monster_Defensive_Value,Monster_CON_Value,Monster_Range_Value,coolTime_Skill_Start_1,coolTime_Skill_Start_2,coolTime_Skill_Start_3,coolTime_Skill_Start_4,coolTime_Skill_Start_5,coolTime_Skill_Start_6,coolTime_Skill_Start_7,
12,12,12,12,12,12,28,600,600,2,-5.08617973327637,-2.36305284500122,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.94151401519775,-2.3144907951355,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.82820844650269,-2.27608275413513,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.71435880661011,-2.23717951774597,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.6024808883667,-2.19864749908447,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.49021196365356,-2.15968179702759,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.3797492980957,-2.12105512619019,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.26820850372314,-2.08176755905151,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.14938116073608,-2.0396101474762,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
12,12,12,12,12,12,28,600,600,2,-4.0364351272583,-1.99925220012665,12,1,20,0,12,-1,0,0,2.8,60,0,0,12,0.600000023841858,5.66666666666667,12,12,5.66666650772095,0,0,0,20,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,11.1284370422363,
